"agency_name","zone_name","times_deployed"
"Plan India","Malwa Plateau","1"
"SEEDS India","Central Uttar Pradesh","1"
"Caritas India","South Tamil Nadu","1"
"Habitat for Humanity","East Uttar Pradesh","1"
"Caritas India","North Tamil Nadu","1"
"Habitat for Humanity","Goa Coast","1"
"ChildFund India","Central Kerala","1"
"NDRF","South Maharashtra","1"
"Pradan","Central Gujarat","1"
"NDRF","Western Ghats","1"
"UNICEF India","Coromandel Coast","1"
"UNICEF India","Western Ghats","1"
"SEEDS India","Central Tamil Nadu","1"
"Save the Children","Central Karnataka","1"
"Sphere India","Central Assam","1"
"Oxfam India","Coromandel Coast","1"
"Plan India","North West Bengal","1"
"Caritas India","Central Punjab","1"
"NDMA India","North Kerala","1"
"Sphere India","South Kerala","1"
"Caritas India","West Uttar Pradesh","1"
"Indian Red Cross","Central Andhra","1"
"CARE India","Central Punjab","1"
"HelpAge India","South Jharkhand","1"
"NDMA India","South West Bengal","1"
"CARE India","Bihar Plains","1"
"Indian Red Cross","Bundelkhand","1"
"Save the Children","South Karnataka","1"
"Save the Children","Delhi NCR","1"
"UNICEF India","Chota Nagpur","1"
"Sphere India","South Himachal","1"
"Indian Red Cross","Tripura Plains","1"
"Oxfam India","Kumaon Region","1"
"Sphere India","Rayalaseema","1"
"NDRF","Malwa Plateau","1"
"NDMA India","South Gujarat","1"
"NDMA India","North Bengal","1"
"Habitat for Humanity","North Tamil Nadu","1"
"Save the Children","North Gujarat","1"
"Habitat for Humanity","Coastal Karnataka","1"
"World Vision India","Rann of Kutch","1"
"NDMA India","Central Uttar Pradesh","1"
"CARE India","Chhattisgarh Basin","1"
"SEEDS India","Punjab Plains","1"
"NDRF","North Bengal","1"
"Indian Red Cross","Sundarbans","1"
"ActionAid India","Malwa Plateau","1"
"NDRF","Mizoram Hills","1"
"ActionAid India","South Assam","1"
"Indian Red Cross","Kachchh Region","1"
"CARE India","Brahmaputra Valley","1"
"UNICEF India","Doab Region","1"
"World Vision India","South Rajasthan","1"
"Indian Red Cross","Telangana Plains","1"
"Goonj","Central Assam","1"
"Plan India","Manipur Valley","1"
"Indian Red Cross","Vidarbha","1"
"Save the Children","Punjab Plains","1"
"Plan India","North Bengal","1"
"Doctors Without Borders","North Andhra","1"
"NDMA India","North Tamil Nadu","1"
"World Vision India","Kachchh Region","1"
"Rapid Response","North Odisha","1"
"Save the Children","Krishna Delta","1"
"Rapid Response","Ganga Delta","1"
"NDRF","Gangetic Plains","1"
"CARE India","North Himachal","1"
"Indian Red Cross","South Gujarat","1"
"NDMA India","Sikkim Hills","1"
"HelpAge India","Krishna Delta","1"
"Save the Children","North Maharashtra","1"
"ChildFund India","East Odisha","1"
